ISBN / ASIN (Amazon ID),Link,Acquired Date,RelationshipSubtype,RelationshipType,Format,Title,Pages,Listening Length,Genres,Subgenres,Series Position,Series,(First) Author,All Authors
B005FLOGC2,https://www.amazon.com/dp/B005FLOGC2,16-Feb-13,Purchase,item_owner,Kindle eBook,Bad Religion: How We Became a Nation of Heretics,354,,Christian Books & Bibles | History,World,,,"Douthat, Ross Gregory",Ross Gregory Douthat
B004IPPII2,https://www.amazon.com/dp/B004IPPII2,17-Sep-12,Purchase,item_owner,Kindle eBook,Beginning PHP 5.3,841,,Computers & Technology,Programming | Web Development & Design | Databases & Big Data,,,"Doyle, Matt",Matt Doyle
B0050VA428,https://www.amazon.com/dp/B0050VA428,4-Feb-13,Purchase,item_owner,Kindle eBook,The Hound of the Baskervilles (Illustrated),259,,,,,,"Doyle, Sir Arthur Conan","Sir Arthur Conan Doyle, Sidney Paget"
B01KUCY7XI,https://www.amazon.com/dp/B01KUCY7XI,30-Jan-17,Purchase,item_owner,Kindle eBook,The Benedict Option: A Strategy for Christians in a Post-Christian Nation,269,,Christian Books & Bibles | Politics & Social Sciences,Christian Living | Politics & Government,,,"Dreher, Rod",Rod Dreher
B01M7V4E0W,https://www.amazon.com/dp/B01M7V4E0W,15-Aug-17,Purchase,item_owner,Kindle eBook,Reading the Bible with the Founding Fathers,341,,Christian Books & Bibles | Politics & Social Sciences | History,World | Americas | Politics & Government,,,"Dreisbach, Daniel L.",Daniel L. Dreisbach
B07HNBFD6V,https://www.amazon.com/dp/B07HNBFD6V,4-Jun-20,KindleUnlimited,item_owner,Kindle eBook,American Judas,359,,"Mystery, Thriller & Suspense",Thrillers & Suspense,,,"Dubrow, Mickey",Mickey Dubrow
0300115970,https://www.amazon.com/dp/0300115970,19-Dec-12,Purchase,item_owner,Paperback,Saints and Sinners: A History of the Popes; Third Edition,496,,Christian Books & Bibles | History,Catholicism | World,,,"Duffy, Eamon",Eamon Duffy
B00H3JZ3JO,https://www.amazon.com/dp/B00H3JZ3JO,28-Apr-16,Purchase,item_owner,Kindle eBook,Accounting All-in-One For Dummies (For Dummies Series),744,,Business & Money,,,,"Dummies, Consumer",Consumer Dummies
B005IZLYF2,https://www.amazon.com/dp/B005IZLYF2,15-Apr-13,KOLL,item_owner,Kindle eBook,Against the Light,495,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction | Fantasy,,,"Duncan, Dave",Dave Duncan
B0B6KTDKMS,https://www.amazon.com/dp/B0B6KTDKMS,19-Nov-23,PublicLibraryLending,item_owner,Kindle eBook,Financial Feminist: Overcome the Patriarchy's Bullsh*t to Master Your Money and Build a Life You Love,318,,Business & Money | Self-Help,Personal Finance,,,"Dunlap, Tori",Tori Dunlap
B003YJEWVC,https://www.amazon.com/dp/B003YJEWVC,3-May-16,Purchase,item_owner,Kindle eBook,A Feral Darkness,356,,Science Fiction & Fantasy,Fantasy,1,A Feral Darkness,"Durgin, Doranna",Doranna Durgin
B004J4WKOW,https://www.amazon.com/dp/B004J4WKOW,27-Jun-16,Purchase,item_owner,Kindle eBook,My Lucky Life In and Out of Show Business: A Memoir,306,,Biographies & Memoirs | Humor & Entertainment,Leaders & Notable People | Arts & Literature,,,"Dyke, Dick Van",Dick Van Dyke
B011H55P1K,https://www.amazon.com/dp/B011H55P1K,18-Jul-16,Purchase,item_owner,Kindle eBook,The Black Presidency: Barack Obama and the Politics of Race in America,367,,Politics & Social Sciences | History | Biographies & Memoirs,Social Sciences | Leaders & Notable People | Americas | Politics & Government,,,"Dyson, Michael Eric",Michael Eric Dyson
B005CRY52A,https://www.amazon.com/dp/B005CRY52A,17-Dec-17,Purchase,item_owner,Kindle eBook,Prince Philip: The Turbulent Early Life of the Man Who Married Queen Elizabeth II,377,,History | Biographies & Memoirs,Leaders & Notable People,,,"Eade, Philip",Philip Eade
B0C9YXYBJV,https://www.amazon.com/dp/B0C9YXYBJV,16-Jul-23,Sharing,item_owner,Kindle eBook,Dick Bong: The Life and Legacy of America’s Greatest Combat Ace during World War II,66,,History,Americas,,,"Editors, Charles River",Charles River Editors
B00KBADAWE,https://www.amazon.com/dp/B00KBADAWE,24-Jun-15,Purchase,item_owner,Kindle eBook,Becoming Beholders: Cultivating Sacramental Imagination and Actions in College Classrooms,338,,Christian Books & Bibles,Catholicism,,,"Eifler, Karen E.","Karen E. Eifler, Thomas M. Landy"
B006THVRPA,https://www.amazon.com/dp/B006THVRPA,8-Mar-12,Purchase,item_owner,Kindle eBook,Religious Freedom and the Constitution,352,,Politics & Social Sciences | History | Law,World | Politics & Government,,,"Eisgruber, Christopher L.","Christopher L. Eisgruber, Lawrence G. Sager"
B07Y31HNWR,https://www.amazon.com/dp/B07Y31HNWR,2-Sep-21,Sharing,item_owner,Kindle eBook,The Chaos Kind,439,,"Literature & Fiction | Mystery, Thriller & Suspense",Thrillers & Suspense,,,"Eisler, Barry",Barry Eisler
B07DL1Y4GV,https://www.amazon.com/dp/B07DL1Y4GV,4-Jan-19,Sharing,item_owner,Kindle eBook,The Killer Collective,450,,"Literature & Fiction | Mystery, Thriller & Suspense",Thrillers & Suspense,,,"Eisler, Barry",Barry Eisler
B008BID2DA,https://www.amazon.com/dp/B008BID2DA,23-Jun-12,Purchase,item_owner,Kindle eBook,Quran Made Easy: Complete English Translation with Inline Commentary,2349,,Religion & Spirituality,Islam,,,"Elias, Mufti Afzal Hoosen",Mufti Afzal Hoosen Elias
B0042P5CXY,https://www.amazon.com/dp/B0042P5CXY,18-May-11,Purchase,item_owner,Kindle eBook,Dawn of Avalon,78,,Literature & Fiction | Romance,Genre Fiction,,,"Elliott, Anna",Anna Elliott
B01NCXF8JC,https://www.amazon.com/dp/B01NCXF8JC,15-Aug-23,Purchase,item_owner,Kindle eBook,"Teaching College: The Ultimate Guide to Lecturing, Presenting, and Engaging Students",321,,Education & Teaching,Schools & Teaching,,,"Eng, Norman",Norman Eng
B001HXR5ZC,https://www.amazon.com/dp/B001HXR5ZC,9-Jul-17,Purchase,item_owner,Paperback,Choosing Life,229,,Christian Books & Bibles | Religion & Spirituality,,,,"English, John J.",John J. English
B01F8PWUU4,https://www.amazon.com/dp/B01F8PWUU4,3-Dec-16,Sharing,item_owner,Kindle eBook,The Missing,222,,"Literature & Fiction | Mystery, Thriller & Suspense",Genre Fiction | Thrillers & Suspense,,,"Eriksson, Caroline","Caroline Eriksson, Tiina Nunnally"
B003ZHVGX0,https://www.amazon.com/dp/B003ZHVGX0,14-Jun-12,Purchase,item_owner,Kindle eBook,"Mrs. Gorski, I Think I Have The Wiggle Fidgets: (ADHD, Creativity, and Intelligence) (The Adventures of Everyday Geniuses Book 1)",29,,Children's Books,Growing Up & Facts of Life,,The Adventures of Everyday Geniuses,"Esham, Barbara","Barbara Esham, Mike Gordon, Carl Gordon"
B005WSNML4,https://www.amazon.com/dp/B005WSNML4,9-Dec-15,Purchase,item_owner,Kindle eBook,What Everyone Needs to Know about Islam (What Everyone Needs to Know (Hardcover)),289,,Politics & Social Sciences | History | Religion & Spirituality,Social Sciences | Islam,,,"Esposito, John L.",John L. Esposito
B0739MF8VF,https://www.amazon.com/dp/B0739MF8VF,8-Oct-23,PublicLibraryLending,item_owner,Kindle eBook,"Automating Inequality: How High-Tech Tools Profile, Police, and Punish the Poor",283,,Politics & Social Sciences,Social Sciences,,,"Eubanks, Virginia",Virginia Eubanks
B0B62DVRLV,https://www.amazon.com/dp/B0B62DVRLV,11-Sep-23,Sharing,item_owner,Kindle eBook,The Power of the Holy Spirit's Names,218,,Christian Books & Bibles,Christian Living,,,"Evans, Tony",Tony Evans
B00C1H90RE,https://www.amazon.com/dp/B00C1H90RE,12-Jan-17,Purchase,item_owner,Kindle eBook,Making the Grade: How Boards Can Ensure Academic Quality (Second Edition),183,,Education & Teaching,Schools & Teaching,,,"Ewell, Peter",Peter Ewell
B0725ZHQWQ,https://www.amazon.com/dp/B0725ZHQWQ,12-Jul-17,Purchase,item_owner,Kindle eBook,"Owned: Property, Privacy, and the New Digital Serfdom",253,,Law,,,,"Fairfield, Joshua A. T.",Joshua A. T. Fairfield
B01619OXGU,https://www.amazon.com/dp/B01619OXGU,2-May-16,Sharing,item_owner,Kindle eBook,Time Heals No Wounds (A Baltic Sea Crime Novel Book 1),352,,"Mystery, Thriller & Suspense",Mystery | Thrillers & Suspense,1,Baltic Sea Crime,"Falkenberg, Hendrik","Hendrik Falkenberg, Patrick F. Brown"
B078HR5S1R,https://www.amazon.com/dp/B078HR5S1R,8-Nov-18,Purchase,item_owner,Kindle eBook,Sacred Conversations and the Evolution of Dialogue,96,,Christian Books & Bibles | Religion & Spirituality,,,,"Farina, Marianne CSC",Marianne CSC Farina
B00BBF23BC,https://www.amazon.com/dp/B00BBF23BC,14-Feb-13,Purchase,item_owner,Kindle eBook,Confession: Looking Into the Eyes of God: Foreword by Jean Vanier,88,,Christian Books & Bibles,Christian Living,,,"Farren, Paul",Paul Farren
B07CJRG2GV,https://www.amazon.com/dp/B07CJRG2GV,22-Jul-18,Purchase,item_owner,Kindle eBook,Believe Me: The Evangelical Road to Donald Trump,173,,Christian Books & Bibles | History,World,,,"Fea, John",John Fea
B01MDK8HX1,https://www.amazon.com/dp/B01MDK8HX1,4-Nov-18,Purchase,item_owner,Kindle eBook,Was America Founded as a Christian Nation? Revised Edition: A Historical Introduction,328,,Christian Books & Bibles | History,World | Americas,,,"Fea, John",John Fea
